LAT;LONG;FULL_NAME_RG
10.866667;-10.983333;Souroumba, Mont
8.862778;-10.063889;Bendou
8.803333;-10.263889;Bendou
11.416667;-10.15;Bendénaye
9.183333;-10.533333;Bendélatiou
8.720833;-10.426944;Bendékoyé
8.720833;-10.426944;Bende Koyé
11.783333;-10.7;Bendékoudé
10.45;-12.333333;Bendé Hili
8.308333;-9.036667;Goboèla
8.308333;-9.036667;Gabouhéla
11.133333;-10.9;Fadia
10.883333;-11.35;Fadama
10.616667;-9.683333;Fadama
10.733333;-9.616667;Fadakoba
10.866667;-8.15;Faboulako
8.45;-8.3;Fabouédougou
8.35;-8.45;Fabouédougou
8.35;-8.45;Faboridougou
9.183333;-10.383333;Faâdou
9.733333;-10.383333;Héréko
9.733333;-10.383333;Erako
9.333333;-10.383333;Erako
11.266667;-10.416667;Elimangol
12.4;-13.15;El Bolet
10.9;-14.083333;Dyiga Diorata
10.9;-14.083333;Digadiora
11.033333;-9.933333;Dyi Dyi
9.083333;-10.633333;Ouoldou
8.316667;-9.45;Ouodoboyé
10.65;-14.033333;Ounsiré Bourédi
11.65;-13.3;Ounié
12.466667;-13.1;Oungwariel
12.633333;-13.316667;Ounéol
11.933333;-11.75;Oundou
9.216667;-10.633333;Oundou
12.5;-13.1;Oundagne
8.601667;-9.764167;Oumézia
11.95;-11.933333;Oumboura
10.016667;-12.9;Damakania
9.9;-12.55;Damacinéa
12.616667;-13.683333;Missira
10.866667;-14.366667;Missira
9.389444;-13.260556;Misera
9.389444;-13.260556;Mexreh
9.389444;-13.260556;Messirah
9.389444;-13.260556;Missira
8.672778;-9.076111;Missamoridou
10.366667;-9.916667;Mansaniana
10.366667;-9.916667;Mansamana
10.366667;-9.916667;Missamana
8.666667;-8.333333;Missadougou
11.166667;-12.216667;Kassagui
11.166667;-12.216667;Misidé Kasagui
9.033333;-7.9;Miri
11.55;-11.083333;Miniyanko
9.033333;-10.45;Kolonkala
12.183333;-13.783333;Rounde Dara
9.463333;-13.796667;Rooma, Ile
9.463333;-13.796667;Crawford, Ile
9.463333;-13.796667;Roume, Île
11.55;-10.7;Rougou Oudou Oudououol
11.983333;-11.85;Niéguélé
11.933333;-11.366667;Niéborassi, Booual
11.933333;-11.366667;Niéborassi, Bowal
10.566667;-10.05;Nié
7.191111;-9.109444;Nié
7.191111;-9.109444;Njaek Creek
7.191111;-9.109444;Nye Riviére
7.191111;-9.109444;Neye Creek
7.191111;-9.109444;Neyi Creek
7.191111;-9.109444;Neye River
11.05;-10.2;Niaulan Kourouni
11.183333;-10.916667;Niaria
8.45;-8.616667;Niaoulindougou
12.65;-13.5;Niantoupona
9.116667;-9.083333;Niantoumandou
9.216667;-13.016667;Mahéra
9.216667;-13.016667;Mahéré
9.85;-10.483333;Marnadi
9.85;-10.483333;Maharnadi
11.216667;-12.216667;Maguia
10.533333;-10.133333;Mafou
10.533333;-10.133333;Mafu
8.5;-10.333333;Mafissia
8.5;-10.333333;Mafinca
8.5;-10.333333;Mafissia Riviere
8.5;-10.333333;Mafintia, Rivière
9.716667;-10.716667;Mafinnedi Kabaya
9.716667;-10.716667;Mafindi-Kabaïa
9.716667;-10.716667;Kabaya
9.716667;-10.716667;Mafindi Kabaya
8.883333;-10.283333;Mafinndo
8.946667;-9.966389;Mafindou
8.916667;-10.283333;Mafinca
8.766667;-8.483333;Mafiantini, Massifde
11.216667;-10.6;Mafendala
8.568889;-9.573611;Maèrédou
8.9;-9.933333;Maékoro
8.666667;-9.931389;Fassabléma
8.816944;-10.033611;Fassaba
10.9;-11.616667;Diarindi
12.05;-10.233333;Diarindé
12.35;-13.55;Diaré Kouda
9.2;-10.583333;Diarando
9.266667;-9.583333;Diarakoro
11.716667;-10.333333;Diara Ko
8.766667;-8.616667;Diarako
9.333333;-8.7;Diaraguéla
9.333333;-8.7;Diaraguéléba
8.366667;-8.716667;Boola
8.316667;-8.883333;Booguizé
8.266667;-8.916667;Boo
10.166667;-10.983333;Bontala
10.166667;-10.983333;Bountala
11.15;-10.983333;Bonsoutoura
9.333333;-8.333333;Bonodou
9.333333;-8.333333;Bohodou
11.216667;-10.583333;Loukoumhoun
11.216667;-10.566667;Loukoum
8.6825;-10.128611;Bambé
10.933333;-12.766667;Bambayavel
11.383333;-10.1;Koséfako
9.233333;-7.966667;Koronkorono
11.216667;-11.966667;Koromou
8.55;-8.766667;Koromoridougou
8.913611;-9.834444;Koromagui
8.913611;-9.834444;Coromagui
8.645556;-9.527222;Koroma
9.366667;-10.233333;Korokoro
9.166667;-10.083333;Korodou
9.083333;-10.266667;Korodou
9.083333;-10.266667;Korédou
8.483333;-8.533333;Késséridougou
11.533333;-10.9;Kessélia
8.483333;-10.516667;Kessedou
10.366667;-12.533333;Ermakono
