LAT;LONG;FULL_NAME_ND_RO;;;;;;;;;;;;;;;;;;;;;;;;;;
14.683333;-17.25;Banc de Bargny;;;;;;;;;;;;;;;;;;;;;;;;;;
14.683333;-17.25;Banc de Bargne;;;;;;;;;;;;;;;;;;;;;;;;;;
13.016667;-16.383333;Bareguessin;;;;;;;;;;;;;;;;;;;;;;;;;;
15.05;-16.55;Bardial;;;;;;;;;;;;;;;;;;;;;;;;;;
12.94;-16.370278;Barantir;;;;;;;;;;;;;;;;;;;;;;;;;;
12.94;-16.370278;Baranlir;;;;;;;;;;;;;;;;;;;;;;;;;;
14.55;-15.933333;Barandao;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.633333;Barakounda;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.633333;Baracounda;;;;;;;;;;;;;;;;;;;;;;;;;;
12.45;-16.133333;Baraka Patata;;;;;;;;;;;;;;;;;;;;;;;;;;
13.116667;-16.483333;Baragues;;;;;;;;;;;;;;;;;;;;;;;;;;
13.116667;-16.15;Baragues;;;;;;;;;;;;;;;;;;;;;;;;;;
14.966667;-16.883333;Baraglou;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-16.4;Keur Mody Diallo;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-16.4;Guague Modi;;;;;;;;;;;;;;;;;;;;;;;;;;
14.15;-16.4;Guague Bokar;;;;;;;;;;;;;;;;;;;;;;;;;;
14.15;-16.4;Gagny Bakar;;;;;;;;;;;;;;;;;;;;;;;;;;
12.792222;-16.608056;Eloukoute;;;;;;;;;;;;;;;;;;;;;;;;;;
12.792222;-16.608056;Eloukout;;;;;;;;;;;;;;;;;;;;;;;;;;
12.605833;-16.372222;Elora;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-15.883333;Gatie Naoude;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-15.883333;N'Gath Naoude;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-15.883333;Ngatye Naoude;;;;;;;;;;;;;;;;;;;;;;;;;;
14.133333;-15.883333;N'Gathe Naude;;;;;;;;;;;;;;;;;;;;;;;;;;
14.55;-15.916667;Ngassinirou;;;;;;;;;;;;;;;;;;;;;;;;;;
14.7;-15.8;Ngassaman;;;;;;;;;;;;;;;;;;;;;;;;;;
14.4775;-17.037222;Ngaring;;;;;;;;;;;;;;;;;;;;;;;;;;
14.464722;-17.06;N'gaparu;;;;;;;;;;;;;;;;;;;;;;;;;;
14.464722;-17.06;Ngaparou;;;;;;;;;;;;;;;;;;;;;;;;;;
14.464722;-17.06;Gambu rude;;;;;;;;;;;;;;;;;;;;;;;;;;
13.866667;-15.883333;Ngapar;;;;;;;;;;;;;;;;;;;;;;;;;;
15.066667;-16.566667;Gankane;;;;;;;;;;;;;;;;;;;;;;;;;;
15.066667;-16.566667;Ngankal;;;;;;;;;;;;;;;;;;;;;;;;;;
12.733333;-16.05;Djiguipoum;;;;;;;;;;;;;;;;;;;;;;;;;;
12.611111;-16.2325;Djiguinoum;;;;;;;;;;;;;;;;;;;;;;;;;;
12.611111;-16.2325;Djiguinoume;;;;;;;;;;;;;;;;;;;;;;;;;;
13.133333;-16.15;Djigoyer;;;;;;;;;;;;;;;;;;;;;;;;;;
12.994167;-15.9675;Djirigone;;;;;;;;;;;;;;;;;;;;;;;;;;
12.994167;-15.9675;Djigirone;;;;;;;;;;;;;;;;;;;;;;;;;;
13.883333;-16.116667;Djigane;;;;;;;;;;;;;;;;;;;;;;;;;;
13.883333;-16.116667;N'Digane;;;;;;;;;;;;;;;;;;;;;;;;;;
13.133333;-15.233333;Djifine Teko;;;;;;;;;;;;;;;;;;;;;;;;;;
13.929444;-16.766111;Djifere;;;;;;;;;;;;;;;;;;;;;;;;;;
13.929444;-16.766111;Djifer du Saloum;;;;;;;;;;;;;;;;;;;;;;;;;;
13.929444;-16.766111;Djifer;;;;;;;;;;;;;;;;;;;;;;;;;;
13.1;-16.216667;Djieye;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-13.666667;Djidje Kounda;;;;;;;;;;;;;;;;;;;;;;;;;;
12.541389;-15.436111;Djidadji;;;;;;;;;;;;;;;;;;;;;;;;;;
14.05;-16.366667;Ndiomdi;;;;;;;;;;;;;;;;;;;;;;;;;;
15.066667;-16.3;N'Dioul;;;;;;;;;;;;;;;;;;;;;;;;;;
