LAT;LONG;FULL_NAME_RO
10.933333;.816667;Koiséga
10.483333;.516667;Koinga
10.816667;.116667;Mandime
9.533333;1.183333;Mana
7.3;.883333;Mamakopé
8.566667;.916667;Adiaé
10.083333;.883333;Pamou
9.783333;1.183333;Kounfaga
9.883333;.983333;Kouna
8.1;.75;Sétiabou
7.866667;.733333;Seregbané
6.266667;1.716667;Séko
6.7;.883333;Sègbèdji Kopé
10.516667;.1;Bétémon
9.883333;1.25;Berholga
9.116667;.5;Bénata
7.116667;.6;Agoumassa
6.55;.8;Helénou
6.55;.8;Héléhoui
6.866667;1.066667;Haya
6.283333;1.516667;Hato
7.116667;1.05;Haké
6.783333;1.5;Tétékpokoudji
7.033333;1.533333;Téou
6.383333;1.183333;Tékpo
9.883333;1.1;Mont Tédédé
6.65;1.466667;Dékou Kopé
9.9;1.083333;Mont Défaloo
9.9;1.083333;Mont Défalo
10.85;.433333;Kpankangouani
7.783333;.833333;Kpalavhé
7.783333;.833333;Kpalavé
7.783333;.833333;Kpalafé
9.75;1.283333;Circonscription de Pagouda
9.75;1.283333;Circonscription de Kpagouda
9.75;1.283333;Préfecture de la Binah
7.333333;1.05;Kpadégan
7.516667;.983333;Agame-Koutoukapa
7.516667;.983333;Koutoukpa
7.516667;.983333;Agomé-Kotukpa
7.516667;.983333;Agomé Kotoukpa
6.983333;1.416667;Agokpo
6.45;1.55;Atchadipémé
7.266667;.65;Mont Atakpléodo
7.5;1.333333;Circonscription d’ Atakpamé
7.5;1.333333;Préfecture de l’ Ogou
7.35;1.233333;Ataké
6.9;1.6;Rapides de Begba
6.333333;1.433333;Bébémé
6.883333;.666667;Bavé
7.516667;1.083333;Ebewa
7.516667;1.083333;Ebéva
7.183333;1.283333;Dovikopé
7.2;.916667;Lemmé
9.066667;1.5;Kazalé
8.433333;1.15;Kaza
8.433333;1.15;Kasa
9.533333;1.016667;Chaîne de Kawabou
6.7;.766667;Tagbalo Kopé
6.7;.766667;Atsou Kopé
9.483333;.55;Boro
6.166667;1.266667;Akuikamé
10.4;.416667;Akpoissou
6.816667;.85;Zozokondji
7.816667;1.6;Zongo
6.733333;1.183333;Gamé
6.733333;1.183333;Gainé
10.383333;.35;Forêt Classée de Galangachi
6.816667;.766667;Gadza
6.816667;.766667;Gadjagan
6.816667;.766667;Gadja
6.816667;.766667;Gadya
6.833333;.733333;Tafié
7.15;1.583333;Tado
7.15;1.583333;Tabo
9.216667;1;Tabalo
10.833333;.216667;Dapanpergou
6.983333;1.066667;Agnikoé
6.633333;1.116667;Agligbé
6.85;1.283333;Agletohoui
6.333333;1.533333;Agbonagban
6.533333;1.15;Tséviétokopé
6.95;.633333;Tsamé
9.916667;1.066667;Sandiane
9.6;.883333;Samba
9.6;.883333;Sammba
7.216667;1.633333;Saligbé
6.283333;1.816667;Agbanaken
6.283333;1.816667;Agbanakin
9.65;1;Poutouan
10.8;.05;Poukpouara
9.383333;.85;Baga
7.583333;.6;B?du
7.583333;.6;Badou
7.566667;1.033333;Afidemgha
9.116667;1.533333;Afem
9.15;.783333;Totoko
7.733333;1.316667;Torotchi
7.183333;.65;Tono
7.116667;.9;Didi
7.116667;.9;Dodi
6.416667;1.35;Agbalamé
6.733333;1.15;Trekpédji
10.35;.483333;Sangbana
10.733333;.25;Nagbong
10.116667;.383333;Nagangou
10.916667;.45;Nadoun
6.516667;.733333;Ankoukopé
7.666667;1.3;Ana Rivière
7.666667;1.3;Anié
6.933333;.566667;Anguédi
6.616667;1.116667;Ané
10.683333;.033333;Mont Boureleman
9.666667;.516667;Boungbalé
10.8;.166667;Boumouang
10.716667;.216667;Mont Boumbouaka Djouaré
10.85;.666667;Boulouguioualé
10.85;.666667;Boulougioualé
7.766667;1.133333;Yékou
7.85;.633333;Mont Yaouatoutou
10.616667;.233333;Natigou
10.433333;.6;Koussigou
10.983333;.266667;Kourientré
7.333333;.65;Mont Koupobi
10.05;.75;Nandri
10.666667;.2;Nandodani
10.116667;.766667;Namouté
7;1.483333;Ahion
6.6;1.383333;Ahépé Akposso
6.6;1.383333;Ahépé Akposo
9.016667;1.283333;Aguidagbadé
9.55;1.133333;Agozo
10.533333;.766667;Djounlé Djamonga
6.5;1.533333;Djokoko
6.5;1.533333;Djokoto
10.483333;.333333;Politi
9.45;1.083333;Babé
7.266667;.85;Azivégo
9.4;1.016667;Kao
10.083333;1;Circonscription de Kanté
10.083333;1;Circonscription de Kandé
10.083333;1;Préfecture de Kéran
9.433333;.25;Kankansi
9.433333;.25;Kakassi
9.433333;.25;Kakaha
9.433333;.25;Kokassì
9.433333;.25;Kankassi
9.433333;.25;Kankasse
10.166667;.616667;Kankangbé
7.766667;.783333;Ohoui
7.633333;1.633333;Kpoumoue
7.9;1.233333;Kpouatouépouaté
7.9;1.233333;Kpouatouépouatoué
6.4;1.483333;Kpotavé
7.483333;1.183333;Kporavé
10.983333;.066667;Kong
10.216667;.966667;Kondala
9.8;.7;Konassi
7.133333;1.15;Komoukopé
10.733333;.2;Tanbangou
6.966667;1.233333;Alikopé
7.95;1.216667;Alémodji
6.966667;1.3;Alédji
7.733333;.916667;Alaousso
10.9;.75;Yoro
7.483333;1.3;Yolikopé
7.333333;1.5;Soussui
8.816667;.5;Kalé
9.483333;.4;Nyomule
9.483333;.4;Njuboli
10.766667;.033333;Kpinparbagou
7.016667;.65;Cascade de Kpimé
6.333333;1.05;Pévémé
6.333333;1.05;Kpévémé
10.616667;.033333;Matougou
9.066667;.533333;Masséjioun
9.066667;.533333;Massejioon
7.033333;1.05;Kofou
8.016667;1.516667;Patiama
7.783333;1.533333;Patala
7.783333;1.533333;Patata
9.466667;1.35;Pasondé
10.7;.733333;Panséri
8.433333;.933333;Kpeï
7.216667;1.033333;Kpégnon
6.833333;1.3;Kpédigni
6.466667;1.566667;Momé Hounkpati
10.916667;.766667;Moiliboinga
7.166667;1.516667;Modja
7.8;1.3;Kolokopé
7.466667;1.316667;Kolokopé
7.183333;1.583333;Péyolou
7.183333;1.583333;Pégolou
10.316667;.35;Mankié
10.333333;.583333;Préfecture de l’ Oti
10.333333;.583333;Cercle de Sansanné-Mango
10.333333;.583333;Sansanné-Mango
10.333333;.583333;Circonscription de Mango
6.266667;1.616667;Adjégan Kopé
7.383333;1.633333;Adjanohoué
6.65;.816667;Adjakpa
7.8;.783333;Fonhouo
9.768056;1.105278;Njamt?u
9.768056;1.105278;Niamtuu
9.768056;1.105278;Niamtougou
9.768056;1.105278;Nyamtouhou
9.833333;.933333;Kpabidé
7.2;.983333;Kovivi
9.95;1.316667;Kouwahaya
9.766667;.433333;Natchikpil
10.883333;.05;Natanbak
10.583333;.166667;Nasson
10.583333;.166667;Nason
9.783333;.8;Napitik
6.95;1.433333;Akétohoin
6.95;1.433333;Akétchom
7.366667;1.233333;Akboéssoukopé
10.283333;.5;Ounsiétikouli
7.45;1.133333;Atigozo
7.3;1.633333;Atifoutou
7.25;1.316667;Atiakéké
10.05;.65;Atélo
10.3;.85;Inyifalé
9.466667;.916667;Insalabou
7.566667;.633333;Forêt Classée des Deux Béna
9.85;.633333;Démon
6.366667;1.7;Niamavo
6.366667;1.7;Nyamavo
6.883333;1.166667;Forêt Classée de Nuatja-Sud
9.55;.283333;Ntchiado
9.7;.833333;Nouhoulmé
7.283333;.8;Elé
8.05;1.433333;Tiati
10.483333;.6;Tiankpuéré
10.483333;.6;Tankpuéré
10.766667;.733333;Tianbouanga
7.683333;1.2;Diamoukopé
10.766667;.516667;Mont Dialété
10.216667;.45;Diadoni
10.3;.583333;Tchanagakan
8.833333;1.416667;Circonscription de Tchamba
8.833333;1.416667;Préfecture de Tchamba
8.383333;1.266667;Tchialabamé
8.383333;1.266667;Tchalabamé
7.8;.633333;Mont Tcha
6.7;1.3;Ewévou
6.7;1.3;Aouéoué
9.516667;1.166667;Wélou
6.7;1.433333;Evi Kopé
7.5;.75;Forêt d’ Étokava
7.5;.75;Forêt d’ Étokavo
7.716667;.716667;Brékoukou
10.766667;.783333;Boutonboanga
6.25;1.6;Glidji Kpodji
6.733333;.816667;Glekové
6.733333;.816667;Glèkopé
6.666667;1.516667;Gboto Eklohomé
10.016667;.633333;Boukouakou
6.866667;.733333;Bouita
7.583333;1.216667;Kouatchou
9.466667;.75;Kouangan
7.4;1;Kouakato
8.116667;1.216667;Amoublé
7.683333;.816667;Forêt d’ Amongaké
6.566667;.883333;Aményoukpé
6.566667;.883333;Amaniokpé
7.7;.716667;Venkounia
6.85;1.6;Wandoulé
6.85;1.6;Vandoulé
7.316667;1.2;Tialoum
7.316667;1.2;Tchaloumikopé
7.316667;1.2;Tyaloum
7.033333;.883333;Mont Tsité
9.083333;1.3;Barangadé
9.5;.983333;Baouda
7.9;.683333;Banlé
8.666667;.616667;Kéla
9.35;1.2;Doumboua
6.916667;.6;Douga
10.683333;.35;Doubouak
10.65;.616667;Léboulégalé
9.65;1.05;Katuyo
10.95;.4;Oubiangou
7.05;1.633333;Ouagba
7.483333;.616667;Mont Otava
6.25;1.6;Assoukopé
6.25;1.6;Asou Kopé
7.95;.616667;Forêt Classée d’ Assouakoko
6.8;.7;Assahun Fiagbé
9.683333;.666667;Tchirkpambo
9.683333;.666667;Tchirkpammbo
9.083333;.866667;Tchimmbéré
9.083333;.866667;Tchimbéré
7.166667;1.433333;Forêt Classée de Tchiela Monata
8.1;1.35;Tchékélé
7.283333;.866667;Bassikopé
10.3;.416667;Nadoti
10.3;.416667;Niammbadé
10.3;.416667;Niambadé
7.616667;1.216667;Akpakopé
7.516667;1.2;Akpaka
7.466667;1.166667;Akoutchobli
7.333333;1.166667;Zolou
6.566667;1.616667;Soglodé
6.566667;1.616667;Gladjoé
6.65;.85;Sodjissikopé
6.65;.85;Sodjisi Kopé
7;1.133333;Boanakopé
7.483333;1.3;Bléonoukopé
6.6;.683333;Bissé
10.966667;.433333;Niakparé
6.566667;1.2;Voukpé
6.566667;1.2;Vogba Kopé
6.816667;.783333;Votromé
