LAT;LONG;NAME
12.3447;2.8567;KASSAGOROU
12.094076;2.723577;SANKANI
12.1199;2.9318;BANKALEYATA
12.350775;2.852111;PEKINGA
12.3168;2.9031;BANDA
12.3113;2.8907;TONDIBANDA
12.0858;2.8626;AOUYYARA
12.1787;2.9611;PANPANOU
12.1787;2.9611;PAMPANOU
12.3888;2.8273;GANBEGOUROU
12.3888;2.8273;GAMBEGOROU
12.274;2.9415;GOMBETIKOARA
12.274;2.9415;GOMBETIKWARA
12.0565;2.4241;GORONGOGOROU
10.272137;3.249692;BAGALIBEROUKPANE
10.312635;3.253159;BAGALIPETE
10.874704;3.402574;OUARA
10.810749;3.608181;GUINDANE
10.978679;3.696253;GOUSSINA
10.813503;3.740099;NEANA
10.812826;3.639397;VOUPE
10.770805;3.58296;SAIBONAGUENE
10.864309;3.425963;SANA
10.717262;3.034891;BABOREOUENANA
10.696571;3.229163;SATA
10.584588;3.807874;ZATENA
10.584588;3.807874;RIVERZATENA
10.917394;3.203027;BULI
10.917394;3.203027;BOULY
10.917394;3.203027;BOULI
10.916872;3.204029;TASSINE
10.916872;3.204029;TASSENE
10.916872;3.204029;TANSINET
10.49377;3.791763;KIKIMBA
10.502145;3.727391;ZA
10.516988;3.543316;ZANA
10.460917;3.501934;SOFA
10.536968;3.291473;KONGA
10.371915;3.353861;AOUASSENA
10.190599;3.308698;BONBODIE
10.190599;3.308698;BOMBODIE
10.21555;3.378816;OUARA
10.599405;3.811153;BIONOMA
10.592624;3.810426;NEGANZI
10.592624;3.810426;NAGANZI
10.592624;3.810426;NEGANZI
10.592624;3.810426;NEGANSI
10.985268;3.153435;BENSEKOU
10.985268;3.153435;BINSAKOU
10.985268;3.153435;BENSAKOU
10.599374;3.522423;BANGA
10.815288;3.741527;GANGANA
10.997719;3.621184;OUINTE
10.700005;3.778758;ZOYO
10.3679;3.097535;BAGOUROULE
10.129558;3.214818;BAHI
10.347073;3.392065;BAHIKASSARI
10.78549;3.081561;BAKANA
10.241114;3.250925;AGANDOBAKA
10.241114;3.250925;GANDOBAKA
10.320211;3.222008;ALAFIAROU
10.807165;3.436877;ALFABE
10.245917;3.24245;ANGARADEBOU
10.069749;3.282871;ATIKOU
10.348563;3.30732;AWASSENA
10.348563;3.30732;AOUASSENA
10.12509;3.237802;AYERE
10.683179;3.656549;BADOUNA
10.54923;3.602311;BAENA
10.618054;3.563123;BAFI
10.932255;3.316667;BAGA
10.276246;3.233102;BAGANIA
10.276246;3.233102;BAGALI
10.276246;3.233102;BAGARIA
10.749692;3.765512;PASSOURA
10.443375;3.091988;PATE
10.171213;3.111968;PATEROUGANDO
10.171213;3.111968;PATEROUGANDA
10.643582;3.472358;BENGA
10.627763;3.664366;WEHIMI
10.627763;3.664366;OUEHIMI
10.367361;3.198228;BAKONBEROU
10.367361;3.198228;BAKOMBEROU
10.021392;3.085567;BANI
10.541449;3.73341;BANINZI
10.541449;3.73341;BANENZI
10.270442;3.343117;BANKOUBOU
10.028788;3.584874;BANPASSA
10.028788;3.584874;BAMPASSA
10.515203;3.548845;BAONA
10.038726;3.321444;BARAGOUROUSSI
10.833256;3.307704;BARANA
10.833256;3.307704;GBARANA
10.247612;3.145686;BARIKEKE
10.468978;3.098151;BASSATIN
10.229173;3.151002;BASSI
10.499085;3.688134;BASSO
10.732409;3.746071;BEDIA
10.728172;3.771444;BEDIKA
10.728172;3.771444;BEDIKO
10.614664;3.556395;BEDOA
10.232024;3.234104;BEKAWARA
10.232024;3.234104;BEKAOUARA
10.551541;3.616205;BEKOUNA
10.481561;3.748536;PENENA
10.388669;3.064268;PEPERA
10.545301;3.637956;PESSINA
10.278788;3.264741;PESSOUROU
10.278788;3.264741;PESSAUROU
10.955547;3.639111;PIAMI
10.96451;3.743144;PINKERINKO
10.984181;3.570288;PINZI
10.813971;3.43395;POUELA
10.813971;3.43395;POUEYLA
10.501464;3.709965;POWI
10.041988;3.383025;SAKABANSI
9.998614;3.394222;SAKOBANA
9.998614;3.394222;SAKABANA
